inet_ntoa(ipv4),port,date_tested,reason
89.120.91.109,8000,"2019-01-20 01:15:25",302
79.62.32.103,8080,"2019-01-20 06:28:39",302
78.189.235.227,8080,"2019-01-20 07:11:30",302
120.131.6.136,8080,"2019-01-20 20:23:16",302
188.204.140.106,8080,"2019-01-20 20:24:58",304
83.150.92.87,8080,"2019-01-20 20:32:29",304
218.255.91.178,8080,"2019-01-20 20:33:27",304
122.117.120.177,8080,"2019-01-20 21:38:21",302
211.75.11.248,8080,"2019-01-20 21:50:21",302
164.177.14.173,8080,"2019-01-21 00:48:11",304
13.80.159.163,3128,"2019-01-21 03:14:27",302
190.130.118.189,5555,"2019-01-21 14:46:04",302
190.130.118.179,5555,"2019-01-21 15:07:14",302
177.244.55.206,8080,"2019-01-21 15:13:00",302
110.64.96.122,8080,"2019-01-21 15:23:19",304
178.18.34.26,8080,"2019-01-21 16:16:33",302
103.229.244.85,8080,"2019-01-21 16:38:51",302
114.35.243.171,8080,"2019-01-21 16:45:54",302
218.28.221.50,8080,"2019-01-21 18:03:06",304
81.219.6.248,5555,"2019-01-24 21:14:26",302
136.243.134.245,8080,"2019-01-24 22:13:29",303
217.117.182.55,8080,"2019-01-25 03:45:13",302
220.133.223.97,8080,"2019-01-27 18:50:39",302
185.81.34.239,8080,"2019-01-27 19:11:01",302
113.106.13.212,8080,"2019-01-27 19:15:02",302
46.30.178.45,8080,"2019-01-27 19:23:23",302
191.183.147.73,8080,"2019-01-27 20:20:37",302
191.183.147.73,8080,"2019-01-27 20:20:52",302
5.128.140.4,3128,"2019-01-27 20:51:51",302
116.87.204.209,8000,"2019-01-27 21:24:30",302
71.241.158.214,8080,"2019-01-27 21:28:39",302
114.33.122.25,8080,"2019-01-27 23:05:59",302
60.251.161.166,8080,"2019-01-27 23:07:01",302
119.160.132.47,8080,"2019-01-27 23:25:56",302
200.132.18.250,8080,"2019-01-28 03:25:55",302
109.100.130.57,8000,"2019-01-28 04:02:49",302
158.109.141.13,8080,"2019-01-28 04:08:04",302
104.56.68.186,8080,"2019-01-28 04:13:31",302
