inet_ntoa(ipv4),port,DATE(date_tested),reason
173.212.45.196,8080,2019-01-19,"200 Integrity check OK"
79.9.75.33,8080,2019-01-19,"200 Integrity check OK"
119.205.167.31,8080,2019-01-19,"200 Integrity check OK"
153.159.15.46,8000,2019-01-19,"200 Integrity check OK"
118.70.223.167,8080,2019-01-19,"200 Integrity check OK"
123.50.128.181,8080,2019-01-19,"200 Integrity check OK"
187.2.164.81,8080,2019-01-19,"200 Integrity check OK"
63.141.49.242,3128,2019-01-19,"200 Integrity check OK"
192.203.198.238,3128,2019-01-19,"200 Integrity check OK"
58.152.119.133,8080,2019-01-19,"200 Integrity check OK"
37.224.19.113,5555,2019-01-19,"200 Integrity check OK"
80.122.30.70,8080,2019-01-19,"200 Integrity check OK"
202.152.60.105,8080,2019-01-19,"200 Integrity check OK"
192.203.198.243,3128,2019-01-19,"200 Integrity check OK"
173.212.45.214,8080,2019-01-19,"200 Integrity check OK"
63.141.49.146,3128,2019-01-19,"200 Integrity check OK"
173.212.45.164,8080,2019-01-19,"200 Integrity check OK"
192.203.198.250,3128,2019-01-19,"200 Integrity check OK"
173.212.45.243,8080,2019-01-19,"200 Integrity check OK"
63.141.49.160,3128,2019-01-19,"200 Integrity check OK"
63.141.49.170,3128,2019-01-19,"200 Integrity check OK"
192.203.198.248,3128,2019-01-19,"200 Integrity check OK"
192.203.198.230,3128,2019-01-19,"200 Integrity check OK"
63.141.49.113,3128,2019-01-19,"200 Integrity check OK"
63.141.49.238,3128,2019-01-19,"200 Integrity check OK"
63.141.49.229,3128,2019-01-19,"200 Integrity check OK"
63.141.49.227,3128,2019-01-19,"200 Integrity check OK"
63.141.49.145,3128,2019-01-19,"200 Integrity check OK"
63.141.49.203,3128,2019-01-19,"200 Integrity check OK"
200.23.43.54,8080,2019-01-19,"200 Integrity check OK"
63.141.49.198,3128,2019-01-20,"200 Integrity check OK"
63.141.49.190,3128,2019-01-20,"200 Integrity check OK"
63.141.49.204,3128,2019-01-20,"200 Integrity check OK"
63.141.49.247,3128,2019-01-20,"200 Integrity check OK"
220.132.136.114,8080,2019-01-20,"200 Integrity check OK"
47.106.181.198,8080,2019-01-20,"200 Integrity check OK"
63.141.49.221,3128,2019-01-20,"200 Integrity check OK"
41.65.186.102,8080,2019-01-20,"200 Integrity check OK"
